country,date,category,metric,value,unit,source,ingested_at
MD,2026-07-11,weather,temp_min_fc7,12.3,celsius,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,precip_fc7,18.4,mm,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,temp_anomaly_yoy,-1.0,celsius,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,temp_mean_fc7,20.0,celsius,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,temp_min_fc7,14.6,celsius,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,precip_fc7,16.8,mm,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,temp_anomaly_yoy,1.4,celsius,open_meteo,2026-07-11T06:29:53Z
LV,2026-07-11,weather,temp_mean_fc7,20.1,celsius,open_meteo,2026-07-11T06:29:54Z
LV,2026-07-11,weather,temp_min_fc7,15.8,celsius,open_meteo,2026-07-11T06:29:54Z
LV,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:54Z
LV,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:54Z
LV,2026-07-11,weather,precip_fc7,10.3,mm,open_meteo,2026-07-11T06:29:54Z
LV,2026-07-11,weather,temp_anomaly_yoy,0.4,celsius,open_meteo,2026-07-11T06:29:55Z
EE,2026-07-11,weather,temp_mean_fc7,20.5,celsius,open_meteo,2026-07-11T06:29:56Z
EE,2026-07-11,weather,temp_min_fc7,16.3,celsius,open_meteo,2026-07-11T06:29:56Z
EE,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:56Z
EE,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:56Z
EE,2026-07-11,weather,precip_fc7,8.0,mm,open_meteo,2026-07-11T06:29:56Z
EE,2026-07-11,weather,temp_anomaly_yoy,1.8,celsius,open_meteo,2026-07-11T06:29:56Z
