country,date,category,metric,value,unit,source,ingested_at
PL,2026-08-06,weather,temp_anomaly_yoy,2.8,celsius,open_meteo,2026-08-06T06:48:35Z
CZ,2026-08-06,weather,temp_mean_fc7,24.0,celsius,open_meteo,2026-08-06T06:48:36Z
CZ,2026-08-06,weather,temp_min_fc7,14.9,celsius,open_meteo,2026-08-06T06:48:36Z
CZ,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:48:36Z
CZ,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:48:36Z
CZ,2026-08-06,weather,precip_fc7,0,mm,open_meteo,2026-08-06T06:48:36Z
CZ,2026-08-06,weather,temp_anomaly_yoy,2.6,celsius,open_meteo,2026-08-06T06:48:37Z
SK,2026-08-06,weather,temp_mean_fc7,27.5,celsius,open_meteo,2026-08-06T06:48:37Z
SK,2026-08-06,weather,temp_min_fc7,18.2,celsius,open_meteo,2026-08-06T06:48:37Z
SK,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:48:37Z
SK,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:48:37Z
SK,2026-08-06,weather,precip_fc7,0.6,mm,open_meteo,2026-08-06T06:48:37Z
SK,2026-08-06,weather,temp_anomaly_yoy,4.4,celsius,open_meteo,2026-08-06T06:48:38Z
HU,2026-08-06,weather,temp_mean_fc7,29.6,celsius,open_meteo,2026-08-06T06:48:38Z
HU,2026-08-06,weather,temp_min_fc7,20.1,celsius,open_meteo,2026-08-06T06:48:38Z
HU,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:48:38Z
HU,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:48:38Z
HU,2026-08-06,weather,precip_fc7,7.3,mm,open_meteo,2026-08-06T06:48:38Z
HU,2026-08-06,weather,temp_anomaly_yoy,4.5,celsius,open_meteo,2026-08-06T06:48:39Z
RO,2026-08-06,weather,temp_mean_fc7,27.4,celsius,open_meteo,2026-08-06T06:48:39Z
RO,2026-08-06,weather,temp_min_fc7,19.4,celsius,open_meteo,2026-08-06T06:48:39Z
RO,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:48:39Z
RO,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:48:39Z
RO,2026-08-06,weather,precip_fc7,0.4,mm,open_meteo,2026-08-06T06:48:39Z
RO,2026-08-06,weather,temp_anomaly_yoy,-0.1,celsius,open_meteo,2026-08-06T06:48:40Z
BG,2026-08-06,weather,temp_mean_fc7,25.6,celsius,open_meteo,2026-08-06T06:48:40Z
BG,2026-08-06,weather,temp_min_fc7,15.2,celsius,open_meteo,2026-08-06T06:48:40Z
BG,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:48:40Z
BG,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:48:40Z
BG,2026-08-06,weather,precip_fc7,0.4,mm,open_meteo,2026-08-06T06:48:40Z
BG,2026-08-06,weather,temp_anomaly_yoy,0.6,celsius,open_meteo,2026-08-06T06:48:41Z
SI,2026-08-06,weather,temp_mean_fc7,26.8,celsius,open_meteo,2026-08-06T06:49:12Z
SI,2026-08-06,weather,temp_min_fc7,18.2,celsius,open_meteo,2026-08-06T06:49:12Z
SI,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:49:12Z
SI,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:49:12Z
SI,2026-08-06,weather,precip_fc7,15.2,mm,open_meteo,2026-08-06T06:49:12Z
SI,2026-08-06,weather,temp_anomaly_yoy,4.9,celsius,open_meteo,2026-08-06T06:49:12Z
GR,2026-08-06,weather,temp_mean_fc7,30.4,celsius,open_meteo,2026-08-06T06:49:13Z
GR,2026-08-06,weather,temp_min_fc7,24.3,celsius,open_meteo,2026-08-06T06:49:13Z
GR,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:49:13Z
GR,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:49:13Z
GR,2026-08-06,weather,precip_fc7,0,mm,open_meteo,2026-08-06T06:49:13Z
GR,2026-08-06,weather,temp_anomaly_yoy,1.3,celsius,open_meteo,2026-08-06T06:49:13Z
BA,2026-08-06,weather,temp_mean_fc7,24.8,celsius,open_meteo,2026-08-06T06:49:14Z
BA,2026-08-06,weather,temp_min_fc7,15.0,celsius,open_meteo,2026-08-06T06:49:14Z
BA,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:49:14Z
BA,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:49:14Z
BA,2026-08-06,weather,precip_fc7,1.7,mm,open_meteo,2026-08-06T06:49:14Z
BA,2026-08-06,weather,temp_anomaly_yoy,3.2,celsius,open_meteo,2026-08-06T06:49:14Z
RS,2026-08-06,weather,temp_mean_fc7,30.4,celsius,open_meteo,2026-08-06T06:49:15Z
RS,2026-08-06,weather,temp_min_fc7,22.9,celsius,open_meteo,2026-08-06T06:49:15Z
RS,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:49:15Z
RS,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:49:15Z
RS,2026-08-06,weather,precip_fc7,0.1,mm,open_meteo,2026-08-06T06:49:15Z
RS,2026-08-06,weather,temp_anomaly_yoy,4.6,celsius,open_meteo,2026-08-06T06:49:16Z
MD,2026-08-06,weather,temp_mean_fc7,26.5,celsius,open_meteo,2026-08-06T06:49:17Z
MD,2026-08-06,weather,temp_min_fc7,17.0,celsius,open_meteo,2026-08-06T06:49:17Z
MD,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:49:17Z
MD,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:49:17Z
MD,2026-08-06,weather,precip_fc7,0,mm,open_meteo,2026-08-06T06:49:17Z
MD,2026-08-06,weather,temp_anomaly_yoy,3.1,celsius,open_meteo,2026-08-06T06:49:19Z
LV,2026-08-06,weather,temp_mean_fc7,19.8,celsius,open_meteo,2026-08-06T06:49:50Z
LV,2026-08-06,weather,temp_min_fc7,13.0,celsius,open_meteo,2026-08-06T06:49:50Z
LV,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:49:50Z
LV,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:49:50Z
LV,2026-08-06,weather,precip_fc7,8.3,mm,open_meteo,2026-08-06T06:49:50Z
LV,2026-08-06,weather,temp_anomaly_yoy,2.7,celsius,open_meteo,2026-08-06T06:49:51Z
EE,2026-08-06,weather,temp_mean_fc7,18.0,celsius,open_meteo,2026-08-06T06:49:51Z
EE,2026-08-06,weather,temp_min_fc7,12.3,celsius,open_meteo,2026-08-06T06:49:51Z
EE,2026-08-06,weather,snowfall_fc7,0,cm,open_meteo,2026-08-06T06:49:51Z
EE,2026-08-06,weather,snow_days_fc7,0,days,open_meteo,2026-08-06T06:49:51Z
EE,2026-08-06,weather,precip_fc7,9.5,mm,open_meteo,2026-08-06T06:49:51Z
EE,2026-08-06,weather,temp_anomaly_yoy,1.3,celsius,open_meteo,2026-08-06T06:49:52Z
PL,2026-05-01,mobility,tourism_nights,9259200,count,eurostat,2026-08-06T06:49:53Z
CZ,2026-05-01,mobility,tourism_nights,5382154,count,eurostat,2026-08-06T06:49:53Z
SK,2026-05-01,mobility,tourism_nights,1335919,count,eurostat,2026-08-06T06:49:53Z
HU,2026-05-01,mobility,tourism_nights,2842607,count,eurostat,2026-08-06T06:49:53Z
RO,2026-05-01,mobility,tourism_nights,2159204,count,eurostat,2026-08-06T06:49:53Z
BG,2026-05-01,mobility,tourism_nights,1570764,count,eurostat,2026-08-06T06:49:53Z
HR,2026-05-01,mobility,tourism_nights,6740489,count,eurostat,2026-08-06T06:49:53Z
SI,2026-05-01,mobility,tourism_nights,1588495,count,eurostat,2026-08-06T06:49:53Z
LT,2026-05-01,mobility,tourism_nights,796149,count,eurostat,2026-08-06T06:49:53Z
LV,2026-05-01,mobility,tourism_nights,419914,count,eurostat,2026-08-06T06:49:53Z
EE,2026-05-01,mobility,tourism_nights,583605,count,eurostat,2026-08-06T06:49:53Z
PL,2026-Q1-01,mobility,airport_passengers,13442405,count,eurostat,2026-08-06T06:49:53Z
CZ,2026-Q1-01,mobility,airport_passengers,3631263,count,eurostat,2026-08-06T06:49:53Z
SK,2026-Q1-01,mobility,airport_passengers,794810,count,eurostat,2026-08-06T06:49:53Z
HU,2026-Q1-01,mobility,airport_passengers,4172222,count,eurostat,2026-08-06T06:49:53Z
BG,2026-Q2-01,mobility,airport_passengers,3248634,count,eurostat,2026-08-06T06:49:53Z
HR,2026-Q1-01,mobility,airport_passengers,1076446,count,eurostat,2026-08-06T06:49:53Z
SI,2026-Q1-01,mobility,airport_passengers,293408,count,eurostat,2026-08-06T06:49:53Z
LT,2026-Q1-01,mobility,airport_passengers,1486373,count,eurostat,2026-08-06T06:49:53Z
LV,2026-Q1-01,mobility,airport_passengers,1410765,count,eurostat,2026-08-06T06:49:53Z
EE,2026-Q1-01,mobility,airport_passengers,722246,count,eurostat,2026-08-06T06:49:53Z
EU,2026-08-06,competitive,wiki_pageviews_michelin,1013,count,wikimedia,2026-08-06T06:49:54Z
EU,2026-08-06,competitive,wiki_pageviews_continental,462,count,wikimedia,2026-08-06T06:49:54Z
EU,2026-08-06,competitive,wiki_pageviews_bridgestone,449,count,wikimedia,2026-08-06T06:49:54Z
EU,2026-08-06,competitive,michelin_attention_sov,52.7,pct,wikimedia,2026-08-06T06:49:54Z
